"Year,Value"
"200203,0.51"
"200204,0.45"
"200205,0.47"
"200206,0.53"
"200207,0.44"
"200208,0.46"
"200209,0.50"
"200210,0.52"
"200211,0.51"
"200212,0.54"
"200301,0.47"
"200302,0.37"
"200303,0.48"
"200304,0.45"
"200305,0.54"
"200306,0.54"
"200307,0.64"
"200308,0.72"
"200309,0.72"
"200310,0.71"
"200311,0.65"
"200312,0.56"
"200401,0.50"
"200402,0.50"
"200403,0.48"
"200404,0.54"
"200405,0.47"
"200406,0.51"
"200407,0.64"
"200408,0.68"
"200409,0.66"
"200410,0.64"
"200411,0.62"
"200412,0.47"
"200501,0.58"
"200502,0.55"
"200503,0.56"
"200504,0.58"
"200505,0.64"
"200506,0.66"
"200507,0.71"
"200508,0.72"
"200509,0.68"
"200510,0.61"
"200511,0.56"
"200512,0.49"
"200601,0.43"
"200602,0.49"
"200603,0.42"
"200604,0.42"
"200605,0.53"
"200606,0.56"
"200607,0.62"
"200608,0.66"
"200609,0.71"
"200610,0.72"
"200611,0.74"
"200612,0.67"
"200701,0.64"
"200702,0.58"
"200703,0.50"
"200704,0.49"
"200705,0.38"
"200706,0.49"
"200707,0.54"
"200708,0.53"
"200709,0.51"
"200710,0.50"
"200711,0.40"
"200712,0.38"
"200801,0.35"
"200802,0.30"
"200803,0.32"
"200804,0.39"
"200805,0.42"
"200806,0.50"
"200807,0.58"
"200808,0.58"
"200809,0.57"
"200810,0.57"
"200811,0.51"
"200812,0.45"
"200901,0.44"
"200902,0.34"
"200903,0.34"
"200904,0.41"
"200905,0.48"
"200906,0.68"
"200907,0.75"
"200908,0.76"
"200909,0.63"
"200910,0.64"
"200911,0.62"
"200912,0.73"
"201001,0.65"
"201002,0.72"
"201003,0.64"
"201004,0.71"
"201005,0.64"
"201006,0.63"
"201007,0.73"
"201008,0.71"
"201009,0.62"
"201010,0.50"
"201011,0.52"
"201012,0.47"
"201101,0.48"
"201102,0.39"
"201103,0.45"
"201104,0.37"
"201105,0.45"
"201106,0.52"
"201107,0.56"
"201108,0.58"
"201109,0.56"
"201110,0.50"
"201111,0.50"
"201112,0.48"
"201201,0.44"
"201202,0.45"
"201203,0.31"
"201204,0.45"
"201205,0.55"
"201206,0.58"
"201207,0.67"
"201208,0.71"
"201209,0.70"
"201210,0.66"
"201211,0.64"
"201212,0.64"
"201301,0.52"
"201302,0.44"
"201303,0.54"
"201304,0.54"
"201305,0.54"
"201306,0.61"
"201307,0.73"
"201308,0.76"
"201309,0.71"
"201310,0.67"
"201311,0.66"
"201312,0.56"
"201401,0.61"
"201402,0.63"
"201403,0.56"
"201404,0.62"
"201405,0.72"
"201406,0.83"
"201407,0.89"
"201408,0.99"
"201409,0.96"
"201410,0.87"
"201411,0.77"
"201412,0.75"
"201501,0.66"
"201502,0.61"
"201503,0.70"
"201504,0.76"
"201505,0.87"
"201506,0.93"
"201507,0.95"
"201508,1.07"
"201509,1.13"
"201510,1.09"
"201511,1.10"
"201512,1.00"
"201601,1.10"
"201602,0.94"
"201603,0.91"
"201604,0.87"
"201605,0.91"
"201606,0.96"
"201607,0.99"
"201608,1.02"
"201609,0.99"
"201610,0.92"
"201611,0.81"
"201612,0.76"
"201701,0.85"
"201702,0.77"
"201703,0.80"
"201704,0.79"
"201705,0.79"
"201706,0.85"
"201707,1.01"
"201708,1.04"
"201709,0.92"
"201710,0.89"
"201711,0.91"
"201712,0.83"
"201801,0.77"
"201802,0.78"
"201803,0.76"
"201804,0.76"
"201805,0.76"
"201806,0.73"
"201807,0.78"
"201808,0.84"
"201809,0.92"
"201810,0.95"
"201811,0.90"
"201812,0.90"
"201901,0.76"
"201902,0.84"
"201903,0.85"
"201904,0.81"
"201905,0.87"
"201906,1.03"
"201907,1.06"
"201908,1.14"
"201909,1.10"
"201910,1.05"
"201911,1.01"
"201912,0.92"
"202001,0.92"
"202002,0.87"
"202003,0.94"
"202004,0.98"
"202005,0.95"
"202006,1.03"
"202007,1.13"
"202008,1.14"
"202009,1.05"
"202010,1.00"
"202011,0.97"
"202012,0.86"
"202101,0.76"
"202102,0.68"
"202103,0.66"
"202104,0.77"
"202105,0.75"
"202106,0.83"
"202107,0.91"
"202108,0.89"
"202109,0.93"
"202110,0.91"
