"Year,Value"
"190701,-0.30"
"190702,-0.36"
"190703,-0.24"
"190704,-0.20"
"190705,-0.35"
"190706,-0.30"
"190707,-0.32"
"190708,-0.40"
"190709,-0.49"
"190710,-0.41"
"190711,-0.39"
"190712,-0.41"
"190801,-0.44"
"190802,-0.34"
"190803,-0.44"
"190804,-0.46"
"190805,-0.48"
"190806,-0.48"
"190807,-0.52"
"190808,-0.56"
"190809,-0.49"
"190810,-0.52"
"190811,-0.46"
"190812,-0.42"
"190901,-0.39"
"190902,-0.47"
"190903,-0.52"
"190904,-0.49"
"190905,-0.39"
"190906,-0.51"
"190907,-0.57"
"190908,-0.48"
"190909,-0.47"
"190910,-0.42"
"190911,-0.50"
"190912,-0.45"
"191001,-0.38"
"191002,-0.45"
"191003,-0.52"
"191004,-0.47"
"191005,-0.34"
"191006,-0.47"
"191007,-0.57"
"191008,-0.48"
"191009,-0.42"
"191010,-0.40"
"191011,-0.43"
"191012,-0.48"
"191101,-0.42"
"191102,-0.46"
"191103,-0.43"
"191104,-0.50"
"191105,-0.55"
"191106,-0.45"
"191107,-0.56"
"191108,-0.49"
"191109,-0.36"
"191110,-0.31"
"191111,-0.27"
"191112,-0.26"
"191201,-0.25"
"191202,-0.20"
"191203,-0.15"
"191204,-0.20"
"191205,-0.20"
"191206,-0.26"
"191207,-0.35"
"191208,-0.51"
"191209,-0.62"
"191210,-0.48"
"191211,-0.54"
"191212,-0.46"
"191301,-0.39"
"191302,-0.36"
"191303,-0.38"
"191304,-0.44"
"191305,-0.48"
"191306,-0.52"
"191307,-0.53"
"191308,-0.54"
"191309,-0.49"
"191310,-0.36"
"191311,-0.33"
"191312,-0.25"
"191401,-0.25"
"191402,-0.28"
"191403,-0.29"
"191404,-0.30"
"191405,-0.24"
"191406,-0.32"
"191407,-0.35"
"191408,-0.29"
"191409,-0.32"
"191410,-0.15"
"191411,-0.15"
"191412,-0.08"
"191501,-0.08"
"191502,-0.10"
"191503,-0.11"
"191504,-0.17"
"191505,-0.16"
"191506,-0.11"
"191507,-0.03"
"191508,-0.03"
"191509,-0.09"
"191510,-0.08"
"191511,-0.09"
"191512,-0.16"
"191601,-0.09"
"191602,-0.06"
"191603,-0.23"
"191604,-0.24"
"191605,-0.33"
"191606,-0.32"
"191607,-0.34"
"191608,-0.36"
"191609,-0.39"
"191610,-0.28"
"191611,-0.43"
"191612,-0.43"
"191701,-0.50"
"191702,-0.37"
"191703,-0.47"
"191704,-0.47"
"191705,-0.54"
